CustomerKey,Age,Gender,EnglishEducation,EnglishOccupation,HouseOwner,MaritalStatus,NumberCarsOwned,NumberChildrenAtHome,Region,StateProvinceName,City,PostalCode,TotalChildren,YearlyIncome,BikeBuyer,IncomeCategory,ManagerialSegment
11021,32,Woman,Partial College,Skilled Manual,Tenant,Single,1,0,North America,Oregon,Beaverton,97005,0,40000,Yes,Moderate,Almost Lost
11022,32,Man,Partial College,Skilled Manual,Owner,Married,1,0,North America,Washington,Bellingham,98225,0,40000,Yes,Moderate,Almost Lost
11023,32,Man,Partial College,Skilled Manual,Owner,Married,1,0,North America,California,Bellflower,90706,0,40000,No,Moderate,Active
11024,32,Man,Partial College,Skilled Manual,Owner,Married,2,0,North America,California,Concord,94519,0,60000,No,Moderate,Win-back
11025,64,Man,Partial High School,Clerical,Owner,Married,2,1,Pacific,Queensland,Hawthorne,4171,2,10000,Yes,Low,Warm High Value
11026,64,Man,Partial College,Clerical,Tenant,Single,2,0,Pacific,New South Wales,Goulburn,2580,2,30000,Yes,Low,Warm High Value
11027,63,Man,Partial College,Clerical,Owner,Married,2,0,Pacific,Victoria,Warrnambool,3280,2,30000,Yes,Low,Warm High Value
11028,64,Woman,Partial College,Clerical,Owner,Married,2,0,Pacific,New South Wales,St. Leonards,2065,2,30000,Yes,Low,Warm High Value
11029,63,Man,Partial College,Clerical,Owner,Married,2,0,Pacific,Victoria,Bendigo,3550,2,30000,Yes,Low,Best
11030,58,Woman,Partial High School,Clerical,Owner,Married,2,1,Pacific,South Australia,Cloverdale,6105,2,10000,Yes,Low,Best
11031,63,Woman,High School,Skilled Manual,Owner,Married,2,0,Pacific,New South Wales,Matraville,2036,4,20000,Yes,Low,Best
11032,63,Woman,High School,Skilled Manual,Owner,Married,2,0,Pacific,Victoria,Melbourne,3000,4,20000,Yes,Low,Warm High Value
11033,57,Man,High School,Skilled Manual,Owner,Married,2,0,Pacific,New South Wales,Milsons Point,2061,4,20000,Yes,Low,Best
11034,63,Woman,High School,Skilled Manual,Owner,Married,2,0,Pacific,New South Wales,North Sydney,2055,4,20000,Yes,Low,Best
11035,62,Woman,Partial High School,Clerical,Owner,Married,2,1,Pacific,Victoria,Cranbourne,3977,2,10000,Yes,Low,Best
11036,31,Woman,Partial College,Skilled Manual,Owner,Married,2,0,North America,California,National City,91950,0,60000,Yes,Moderate,Almost Lost
11037,32,Woman,Partial High School,Clerical,Tenant,Single,2,0,North America,British Columbia,Cliffside,V8Y 1L1,0,40000,Yes,Moderate,Almost Lost
11038,62,Woman,Partial High School,Clerical,Owner,Married,2,1,Pacific,New South Wales,Lavender Bay,2060,2,10000,Yes,Low,Best
11039,61,Man,Partial College,Clerical,Owner,Married,2,0,Pacific,New South Wales,Wollongong,2500,3,30000,Yes,Low,Best
11040,33,Man,Partial College,Skilled Manual,Owner,Married,2,0,North America,Washington,Tacoma,98403,0,30000,Yes,Low,Almost Lost
11041,33,Woman,Partial College,Skilled Manual,Owner,Married,2,0,North America,California,Glendale,91203,0,60000,Yes,Moderate,Almost Lost
11042,33,Woman,Partial College,Skilled Manual,Owner,Married,2,0,North America,California,Los Angeles,90012,0,70000,Yes,Unknown,Warm High Value
11043,34,Man,Partial College,Skilled Manual,Owner,Married,2,0,North America,California,Glendale,91203,0,60000,No,Moderate,Warm
11044,61,Man,Partial High School,Clerical,Owner,Married,2,1,Pacific,Queensland,Hervey Bay,4655,2,20000,Yes,Low,Best
11045,60,Man,High School,Skilled Manual,Tenant,Single,2,0,Pacific,New South Wales,Matraville,2036,3,30000,No,Low,Warm High Value
11046,60,Woman,High School,Skilled Manual,Owner,Married,2,0,Pacific,New South Wales,Lavender Bay,2060,3,30000,Yes,Low,Best
11047,60,Woman,High School,Skilled Manual,Tenant,Married,2,0,Pacific,Victoria,Geelong,3220,3,30000,Yes,Low,Best
11048,59,Man,High School,Skilled Manual,Owner,Married,2,0,Pacific,Victoria,Sunbury,3429,3,30000,Yes,Low,Best
11049,30,Woman,Partial High School,Clerical,Owner,Single,2,0,North America,California,Chula Vista,91910,0,40000,No,Moderate,Warm
11050,59,Man,High School,Skilled Manual,Owner,Married,2,0,Pacific,Tasmania,Hobart,7001,3,30000,Yes,Low,Best
11051,59,Man,High School,Skilled Manual,Tenant,Single,2,0,Pacific,Queensland,Caloundra,4551,3,30000,No,Low,Active
11052,59,Woman,Partial College,Clerical,Tenant,Single,2,0,Pacific,New South Wales,Matraville,2036,2,40000,Yes,Moderate,Win-back
11053,30,Woman,Partial College,Skilled Manual,Tenant,Married,2,0,North America,California,San Diego,92102,0,60000,Yes,Moderate,Almost Lost
11054,58,Woman,Partial College,Skilled Manual,Owner,Married,2,0,Pacific,Victoria,Geelong,3220,2,40000,Yes,Moderate,Win-back
11055,58,Man,Partial College,Skilled Manual,Owner,Married,2,0,Pacific,Queensland,East Brisbane,4169,2,40000,Yes,Moderate,Win-back
11056,57,Woman,Partial College,Skilled Manual,Owner,Married,2,0,Pacific,New South Wales,Newcastle,2300,3,40000,Yes,Moderate,Win-back
11057,46,Man,Graduate Degree,Management,Owner,Married,2,0,Pacific,New South Wales,Lane Cove,1597,2,70000,Yes,Unknown,Win-back
11058,51,Man,Partial College,Skilled Manual,Owner,Married,2,0,Pacific,South Australia,Findon,5023,2,80000,Yes,High,Win-back
11059,56,Woman,Partial College,Skilled Manual,Owner,Single,2,0,Pacific,Queensland,Townsville,4810,2,80000,No,High,Win-back
11060,56,Man,Partial College,Skilled Manual,Owner,Married,2,0,Pacific,Victoria,Warrnambool,3280,2,80000,Yes,High,Win-back
11061,40,Man,Partial College,Skilled Manual,Owner,Married,2,0,Pacific,Queensland,Gold Coast,4217,2,80000,Yes,High,Win-back
11062,35,Man,High School,Skilled Manual,Owner,Married,2,0,North America,Oregon,Portland,97205,0,40000,Yes,Moderate,Almost Lost
11063,35,Woman,High School,Skilled Manual,Owner,Single,2,0,North America,Washington,Redmond,98052,0,40000,Yes,Moderate,Almost Lost
11064,34,Man,High School,Skilled Manual,Owner,Married,2,0,North America,California,Downey,90241,0,40000,Yes,Moderate,Almost Lost
11065,37,Woman,Partial College,Skilled Manual,Tenant,Married,2,0,North America,California,La Jolla,92806,0,60000,No,Moderate,Active
11066,36,Woman,Partial College,Professional,Owner,Married,2,0,North America,Oregon,Lebanon,97355,0,70000,No,Unknown,Warm
11067,34,Man,Partial College,Professional,Owner,Single,2,0,North America,Washington,Port Orchard,98366,0,60000,No,Moderate,Active
11068,49,Woman,High School,Skilled Manual,Owner,Single,2,0,Pacific,Victoria,Warrnambool,3280,2,80000,No,High,Warm High Value
11069,49,Woman,High School,Skilled Manual,Tenant,Single,2,0,Pacific,Queensland,Gold Coast,4217,2,80000,Yes,High,Win-back
11070,55,Man,High School,Skilled Manual,Owner,Married,2,0,Pacific,Victoria,Sunbury,3429,2,80000,Yes,High,Win-back
11071,55,Woman,High School,Skilled Manual,Owner,Single,2,0,Pacific,Queensland,Hawthorne,4171,2,80000,No,High,Active
11072,55,Woman,High School,Skilled Manual,Tenant,Single,2,0,Pacific,New South Wales,St. Leonards,2065,2,80000,Yes,High,Win-back
11073,54,Woman,High School,Skilled Manual,Owner,Single,2,0,Pacific,New South Wales,Springwood,2777,2,70000,No,Unknown,Warm High Value
11074,54,Man,High School,Skilled Manual,Owner,Single,2,0,Pacific,South Australia,Cloverdale,6105,2,70000,No,Unknown,Win-back
11075,53,Woman,High School,Professional,Owner,Single,2,0,Pacific,Victoria,Bendigo,3550,2,80000,Yes,High,Win-back
11076,53,Man,High School,Professional,Owner,Single,2,0,Pacific,New South Wales,Wollongong,2500,2,80000,Yes,High,Win-back
11077,53,Woman,High School,Professional,Tenant,Single,2,0,Pacific,Victoria,Melton,3337,2,80000,Yes,High,Win-back
11078,31,Woman,High School,Professional,Tenant,Single,2,0,North America,British Columbia,Cliffside,V8Y 1L1,0,40000,No,Moderate,Active High Value
11079,46,Man,Graduate Degree,Management,Owner,Single,2,0,Pacific,Victoria,Geelong,3220,0,160000,No,High,Active
11080,51,Man,Graduate Degree,Management,Owner,Married,2,0,Pacific,South Australia,Perth,6006,0,170000,Yes,High,Win-back
11081,44,Woman,Bachelors,Management,Owner,Married,3,2,North America,California,Concord,94519,2,120000,No,High,Win-back
11082,44,Woman,Graduate Degree,Management,Tenant,Single,3,1,North America,California,Fremont,94536,0,130000,Yes,High,Best
11083,39,Woman,Graduate Degree,Management,Owner,Married,3,1,North America,California,Lincoln Acres,91950,0,130000,Yes,High,Active High Value
11084,53,Man,Partial High School,Skilled Manual,Tenant,Single,2,0,North America,Oregon,Lebanon,97355,2,80000,Yes,High,Best
11085,53,Woman,High School,Professional,Tenant,Single,2,0,North America,California,Newport Beach,92625,2,60000,No,Moderate,Active
11086,52,Man,Partial College,Professional,Owner,Married,0,1,North America,California,Santa Monica,90401,2,70000,No,Unknown,Active
11087,53,Woman,Partial College,Professional,Tenant,Married,0,2,North America,California,Chula Vista,91910,3,70000,No,Unknown,Win-back
11088,52,Man,Bachelors,Management,Owner,Married,0,1,North America,California,San Diego,92102,2,80000,Yes,High,Best
11089,53,Woman,Bachelors,Management,Owner,Single,1,1,North America,California,Long Beach,90802,2,80000,Yes,High,Active High Value
11090,47,Man,Partial College,Professional,Owner,Single,1,0,North America,California,Los Angeles,90012,2,90000,Yes,High,Best
11091,53,Man,Partial College,Professional,Owner,Married,1,0,North America,British Columbia,Haney,V2W 1W2,2,90000,No,High,Active High Value
11092,43,Woman,Bachelors,Professional,Owner,Married,0,2,Pacific,Queensland,East Brisbane,4169,2,90000,Yes,High,Win-back
11093,37,Woman,Graduate Degree,Management,Owner,Married,0,0,Pacific,New South Wales,Wollongong,2500,0,100000,Yes,High,Win-back
11094,48,Man,Partial College,Skilled Manual,Tenant,Single,1,0,Pacific,Victoria,Cranbourne,3977,1,70000,No,Unknown,Active
11095,48,Man,Partial College,Skilled Manual,Owner,Single,1,0,Pacific,New South Wales,Port Macquarie,2444,1,70000,Yes,Unknown,Win-back
11096,48,Man,Bachelors,Professional,Owner,Married,1,0,Pacific,New South Wales,North Sydney,2055,1,60000,Yes,Moderate,Win-back
11097,43,Man,Partial College,Skilled Manual,Owner,Married,1,0,Pacific,Victoria,Warrnambool,3280,1,60000,Yes,Moderate,Win-back
11098,49,Woman,Partial College,Skilled Manual,Tenant,Single,1,0,Pacific,New South Wales,Rhodes,2138,1,60000,No,Moderate,Warm High Value
11099,49,Man,Bachelors,Professional,Owner,Married,1,0,Pacific,New South Wales,Port Macquarie,2444,1,60000,Yes,Moderate,Win-back
11100,50,Woman,Partial College,Skilled Manual,Owner,Single,1,0,Pacific,South Australia,Cloverdale,6105,1,60000,Yes,Moderate,Warm High Value
11101,45,Woman,Bachelors,Professional,Tenant,Single,1,0,Pacific,Victoria,Cranbourne,3977,0,70000,Yes,Unknown,Win-back
11102,45,Woman,Bachelors,Professional,Owner,Single,4,5,Pacific,New South Wales,Sydney,1002,5,80000,No,High,Active
11103,35,Woman,Bachelors,Professional,Owner,Single,1,0,Pacific,New South Wales,Darlinghurst,2010,0,70000,Yes,Unknown,Win-back
11104,41,Man,Bachelors,Professional,Tenant,Married,1,0,Pacific,Queensland,Gold Coast,4217,0,70000,Yes,Unknown,Win-back
11105,45,Woman,Bachelors,Professional,Tenant,Single,1,0,Pacific,New South Wales,Matraville,2036,0,70000,Yes,Unknown,Win-back
11106,46,Man,Bachelors,Professional,Tenant,Single,1,0,Pacific,Victoria,Warrnambool,3280,0,70000,Yes,Unknown,Win-back
11107,40,Woman,Bachelors,Professional,Owner,Married,1,0,Pacific,New South Wales,St. Leonards,2065,1,90000,Yes,High,Win-back
11108,47,Woman,Bachelors,Professional,Tenant,Single,2,0,Pacific,New South Wales,Port Macquarie,2444,0,70000,Yes,Unknown,Win-back
11109,36,Man,Bachelors,Professional,Tenant,Single,2,0,Pacific,Victoria,South Melbourne,3205,0,70000,Yes,Unknown,Win-back
11110,48,Man,Partial College,Skilled Manual,Owner,Married,1,0,Pacific,New South Wales,Darlinghurst,2010,1,60000,Yes,Moderate,Warm High Value
11111,48,Woman,Partial College,Skilled Manual,Owner,Married,1,0,Pacific,Victoria,Geelong,3220,1,60000,Yes,Moderate,Win-back
11112,48,Woman,Partial College,Skilled Manual,Owner,Married,1,0,Pacific,Queensland,Hervey Bay,4655,1,60000,Yes,Moderate,Warm High Value
11113,43,Man,Bachelors,Professional,Owner,Married,2,4,Pacific,South Australia,Perth,6006,5,70000,No,Unknown,Win-back
11114,48,Woman,Partial College,Skilled Manual,Owner,Single,2,4,Pacific,New South Wales,Rhodes,2138,5,70000,No,Unknown,Active
11115,48,Man,Partial College,Skilled Manual,Owner,Married,2,4,Pacific,New South Wales,St. Leonards,2065,5,70000,No,Unknown,Active
11116,37,Man,Partial College,Skilled Manual,Owner,Married,2,4,Pacific,New South Wales,Sydney,1002,5,70000,No,Unknown,Warm High Value
11117,49,Woman,Partial College,Skilled Manual,Owner,Married,3,4,Pacific,New South Wales,Matraville,2036,5,70000,Yes,Unknown,Win-back
11118,53,Man,Partial College,Skilled Manual,Tenant,Single,1,0,Pacific,New South Wales,Lavender Bay,2060,1,80000,No,High,Active
11119,75,Man,Partial College,Clerical,Tenant,Single,2,0,Pacific,New South Wales,Port Macquarie,2444,2,30000,No,Low,Active
11120,74,Woman,Bachelors,Management,Owner,Single,1,0,Pacific,New South Wales,Sydney,1002,2,40000,Yes,Moderate,Warm High Value
11121,50,Man,Partial College,Skilled Manual,Owner,Married,3,4,Pacific,New South Wales,Newcastle,2300,5,70000,No,Unknown,Active
11122,50,Man,Partial College,Skilled Manual,Owner,Married,3,4,Pacific,New South Wales,North Sydney,2055,5,70000,No,Unknown,Warm High Value
11123,50,Man,Partial College,Skilled Manual,Owner,Married,3,4,Pacific,Victoria,Sunbury,3429,5,70000,No,Unknown,Active
11124,47,Man,Partial College,Skilled Manual,Owner,Single,1,0,Pacific,Victoria,Warrnambool,3280,1,80000,Yes,High,Win-back
11125,54,Woman,Partial College,Skilled Manual,Owner,Single,1,0,Pacific,Victoria,Seaford,3198,1,70000,No,Unknown,Win-back
11126,61,Man,High School,Skilled Manual,Tenant,Married,2,1,Pacific,New South Wales,North Ryde,2113,2,10000,Yes,Low,Best
11127,35,Woman,High School,Skilled Manual,Owner,Married,1,0,North America,California,San Gabriel,91776,0,40000,No,Moderate,Warm High Value
11128,34,Woman,High School,Skilled Manual,Owner,Married,1,0,North America,Washington,Renton,98055,0,40000,No,Moderate,Warm
11129,35,Woman,High School,Skilled Manual,Owner,Single,1,0,North America,Washington,Sedro Woolley,98284,0,40000,Yes,Moderate,Win-back
11130,30,Woman,High School,Skilled Manual,Owner,Married,2,0,North America,Oregon,Lebanon,97355,0,30000,No,Low,Novice
11131,30,Woman,High School,Skilled Manual,Tenant,Married,2,0,North America,British Columbia,Haney,V2W 1W2,0,30000,No,Low,Active
11132,30,Woman,High School,Skilled Manual,Tenant,Single,2,0,North America,British Columbia,Langford,V9,0,30000,Yes,Low,Almost Lost
11133,30,Woman,Partial High School,Clerical,Tenant,Single,2,0,North America,Oregon,Lake Oswego,97034,0,30000,No,Low,Novice
11134,59,Man,High School,Skilled Manual,Owner,Single,2,0,Pacific,South Australia,Perth,6006,5,10000,Yes,Low,Best
11135,31,Man,Partial High School,Clerical,Tenant,Single,2,0,North America,California,Burlingame,94010,0,30000,Yes,Low,Almost Lost
11136,32,Woman,High School,Skilled Manual,Tenant,Single,2,0,North America,British Columbia,Metchosin,V9,0,40000,Yes,Moderate,Almost Lost
11137,32,Woman,High School,Skilled Manual,Owner,Married,2,0,North America,Washington,Spokane,99202,0,40000,No,Moderate,Active
11138,32,Woman,High School,Skilled Manual,Tenant,Married,2,0,North America,California,Glendale,91203,0,40000,No,Moderate,Active
11139,66,Woman,Partial College,Clerical,Tenant,Single,2,0,Pacific,South Australia,Cloverdale,6105,2,30000,No,Low,Warm High Value
11140,33,Man,Partial High School,Clerical,Tenant,Single,2,0,North America,California,Burbank,91502,0,30000,No,Low,Almost Lost
11141,33,Woman,High School,Skilled Manual,Tenant,Married,2,0,North America,California,Daly City,94015,0,40000,No,Moderate,Warm High Value
11142,33,Man,High School,Skilled Manual,Tenant,Single,2,0,North America,British Columbia,Langford,V9,0,40000,No,Moderate,Active High Value
11143,33,Man,High School,Skilled Manual,Owner,Married,2,0,North America,California,Lakewood,90712,0,40000,No,Moderate,Active
11144,31,Man,High School,Skilled Manual,Tenant,Single,2,0,North America,Washington,Ballard,98107,0,40000,Yes,Moderate,Almost Lost
11145,30,Woman,High School,Skilled Manual,Tenant,Single,2,0,North America,Oregon,Beaverton,97005,0,40000,Yes,Moderate,Almost Lost
11146,71,Woman,Bachelors,Management,Owner,Single,2,0,Pacific,New South Wales,Matraville,2036,2,40000,No,Moderate,Warm High Value
11147,71,Man,Graduate Degree,Management,Owner,Married,1,0,Pacific,Victoria,Warrnambool,3280,2,60000,Yes,Moderate,Warm High Value
11148,69,Man,Bachelors,Management,Owner,Married,2,0,Pacific,Queensland,East Brisbane,4169,2,40000,No,Moderate,Active
11149,69,Man,Bachelors,Management,Owner,Married,2,0,Pacific,Queensland,Hervey Bay,4655,2,40000,No,Moderate,Active
11150,69,Man,Bachelors,Management,Owner,Single,2,0,Pacific,Victoria,Sunbury,3429,2,40000,No,Moderate,Win-back
11151,68,Woman,Graduate Degree,Management,Tenant,Single,1,0,Pacific,New South Wales,Sydney,1002,2,60000,Yes,Moderate,Warm High Value
11152,34,Man,High School,Skilled Manual,Owner,Single,2,0,North America,Washington,Puyallup,98371,0,40000,Yes,Moderate,Almost Lost
11153,34,Woman,High School,Skilled Manual,Owner,Married,2,0,North America,Washington,Renton,98055,0,40000,No,Moderate,Win-back
11154,34,Woman,Partial College,Skilled Manual,Owner,Single,1,0,North America,Oregon,Woodburn,97071,0,40000,Yes,Moderate,Almost Lost
11155,34,Man,Partial College,Skilled Manual,Tenant,Single,1,0,North America,California,Burbank,91502,0,40000,Yes,Moderate,Almost Lost
11156,34,Woman,Partial College,Skilled Manual,Tenant,Single,1,0,North America,California,Lakewood,90712,0,40000,Yes,Moderate,Almost Lost
11157,35,Woman,High School,Skilled Manual,Owner,Married,2,0,North America,Washington,Tacoma,98403,0,40000,No,Moderate,Warm
11158,35,Man,High School,Skilled Manual,Owner,Single,2,0,North America,California,San Gabriel,91776,0,40000,Yes,Moderate,Almost Lost
11159,35,Woman,High School,Skilled Manual,Tenant,Single,2,0,North America,California,Woodland Hills,91364,0,40000,No,Moderate,Active
11160,36,Man,Partial College,Skilled Manual,Tenant,Single,1,0,North America,California,Concord,94519,0,40000,Yes,Moderate,Almost Lost
11161,36,Woman,Partial College,Skilled Manual,Tenant,Single,1,0,North America,California,Concord,94519,0,40000,No,Moderate,Active
11162,36,Man,Partial College,Skilled Manual,Owner,Single,1,0,North America,California,La Jolla,92806,0,40000,Yes,Moderate,Almost Lost
11163,35,Man,Partial College,Skilled Manual,Owner,Married,1,0,North America,California,Spring Valley,91977,0,40000,No,Moderate,Cold
11164,36,Man,Partial College,Skilled Manual,Tenant,Single,1,0,North America,California,Torrance,90505,0,40000,No,Moderate,Warm High Value
11165,37,Woman,Partial College,Skilled Manual,Tenant,Married,1,0,North America,California,Oakland,94611,0,60000,No,Moderate,Cold
11166,38,Woman,Partial College,Skilled Manual,Tenant,Single,2,0,North America,Washington,Olympia,98501,0,70000,No,Unknown,Active
11167,38,Woman,Bachelors,Management,Tenant,Single,1,0,North America,Washington,Issaquah,98027,0,80000,Yes,High,Best
11168,42,Man,Bachelors,Management,Tenant,Single,1,0,North America,California,Oakland,94611,0,80000,Yes,High,Best
11169,42,Man,Bachelors,Management,Owner,Married,1,4,North America,California,Coronado,92118,4,90000,No,High,Warm
11170,42,Woman,Bachelors,Management,Owner,Married,1,4,North America,Washington,Burien,98168,4,90000,No,High,Active
11171,37,Man,Bachelors,Management,Owner,Single,2,0,North America,California,Woodland Hills,91364,1,100000,Yes,High,Best
11172,42,Woman,Bachelors,Management,Owner,Married,2,0,North America,Washington,Lynnwood,98036,1,100000,No,High,Active
11173,43,Woman,Graduate Degree,Management,Tenant,Single,4,0,North America,Oregon,W. Linn,97068,0,110000,No,High,Active
11174,43,Man,Graduate Degree,Management,Owner,Married,0,1,North America,California,Los Angeles,90012,0,110000,No,High,Cold
11175,47,Man,Partial College,Skilled Manual,Owner,Single,2,0,North America,California,Beverly Hills,90210,0,70000,Yes,Unknown,Best
11176,37,Man,Bachelors,Management,Owner,Married,1,4,North America,British Columbia,Haney,V2W 1W2,4,90000,No,High,Active High Value
11177,68,Man,Graduate Degree,Management,Owner,Married,2,4,North America,California,San Diego,92102,2,110000,No,High,Warm
11178,61,Man,Graduate Degree,Management,Owner,Married,3,3,North America,California,Lakewood,90712,2,100000,No,High,Win-back
11179,56,Woman,Graduate Degree,Management,Owner,Married,3,4,North America,California,Beverly Hills,90210,2,120000,No,High,Active
11180,67,Woman,Bachelors,Management,Owner,Married,4,3,North America,California,Chula Vista,91910,1,160000,No,High,Warm
11181,56,Man,Graduate Degree,Management,Owner,Married,2,3,North America,California,Los Angeles,90012,2,170000,No,High,Win-back
11182,66,Woman,Bachelors,Management,Owner,Single,2,0,North America,Washington,Sedro Woolley,98284,4,70000,No,Unknown,Active
11183,66,Woman,Bachelors,Management,Owner,Single,2,0,North America,California,Santa Cruz,95062,4,70000,No,Unknown,Cold
11184,60,Woman,Bachelors,Management,Owner,Single,2,0,North America,California,Concord,94519,4,70000,No,Unknown,Warm High Value
11185,66,Woman,Bachelors,Management,Owner,Single,2,0,North America,British Columbia,Metchosin,V9,4,70000,No,Unknown,Active High Value
11186,66,Woman,Bachelors,Management,Owner,Single,2,0,North America,California,Palo Alto,94303,4,70000,No,Unknown,Active
11187,66,Woman,Graduate Degree,Management,Owner,Married,2,0,North America,Washington,Burien,98168,4,60000,No,Moderate,Win-back
11188,66,Woman,Graduate Degree,Management,Tenant,Married,2,0,North America,California,San Gabriel,91776,4,60000,No,Moderate,Active
11189,66,Man,Graduate Degree,Management,Owner,Single,2,0,North America,Washington,Bellingham,98225,4,60000,Yes,Moderate,Win-back
11190,66,Man,Bachelors,Management,Owner,Married,2,0,North America,California,Beverly Hills,90210,5,70000,No,Unknown,Active
11191,64,Woman,Bachelors,Management,Owner,Single,3,0,North America,California,Colma,94014,5,70000,Yes,Unknown,Best
11192,65,Man,Bachelors,Management,Owner,Married,2,0,North America,Washington,Seattle,98104,4,60000,No,Moderate,Warm
11193,65,Man,Bachelors,Management,Owner,Married,2,0,North America,Oregon,Woodburn,97071,4,60000,No,Moderate,Warm High Value
11194,65,Woman,Bachelors,Management,Owner,Married,2,0,North America,California,Palo Alto,94303,4,60000,No,Moderate,Active
11195,64,Woman,Bachelors,Management,Owner,Married,3,0,North America,Washington,Renton,98055,5,60000,No,Moderate,Warm
11196,64,Man,Bachelors,Management,Owner,Married,3,0,North America,Oregon,Beaverton,97005,5,60000,No,Moderate,Warm High Value
11197,64,Woman,Bachelors,Management,Tenant,Married,1,1,North America,Washington,Seattle,98104,3,70000,No,Unknown,Cold
11198,63,Woman,Bachelors,Management,Owner,Single,1,1,North America,California,Santa Cruz,95062,4,70000,No,Unknown,Win-back
11199,58,Woman,Bachelors,Management,Owner,Married,1,1,North America,California,Burlingame,94010,4,70000,No,Unknown,Warm High Value
11200,62,Man,Bachelors,Management,Owner,Married,1,1,North America,British Columbia,Victoria,V8V,4,70000,No,Unknown,Active High Value
11201,63,Woman,Bachelors,Management,Owner,Married,1,1,North America,California,Santa Monica,90401,4,70000,No,Unknown,Warm High Value
11202,57,Woman,Bachelors,Management,Tenant,Married,2,0,North America,California,Lakewood,90712,5,80000,No,High,Warm High Value
11203,56,Man,High School,Professional,Owner,Married,2,1,North America,British Columbia,Port Hammond,V6B 3P7,2,40000,No,Moderate,Active High Value
11204,62,Woman,High School,Professional,Owner,Married,2,1,North America,Oregon,Beaverton,97005,2,40000,No,Moderate,Active
11205,62,Woman,High School,Professional,Owner,Married,2,1,North America,Washington,Burien,98168,2,40000,No,Moderate,Warm High Value
11206,62,Man,Partial College,Professional,Owner,Married,1,1,North America,Washington,Lynnwood,98036,2,60000,No,Moderate,Almost Lost
11207,62,Woman,Partial College,Professional,Owner,Single,1,1,North America,Washington,Renton,98055,2,60000,No,Moderate,Warm High Value
11208,62,Woman,Bachelors,Management,Owner,Married,0,1,North America,California,Glendale,91203,2,60000,No,Moderate,Warm High Value
11209,62,Woman,Bachelors,Management,Owner,Married,0,1,North America,California,Lincoln Acres,91950,2,60000,No,Moderate,Active
11210,62,Man,Partial College,Professional,Owner,Married,2,1,North America,California,West Covina,91791,4,70000,No,Unknown,Warm High Value
