CustomerKey,EnglishEducation,Gender,HouseOwner,MaritalStatus,NumberCarsOwned,NumberChildrenAtHome,Region,YearlyIncome,Income category,ManagerialSegment
11053,Partial College,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
27508,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
25044,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
19759,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
22185,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
15013,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
28127,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
29059,Partial College,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
27479,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
29110,Partial College,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
19671,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
14270,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
28096,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
17489,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
23354,Partial College,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
16924,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
19760,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
22211,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
27478,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
23111,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
20439,Partial College,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
24299,Partial College,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
26576,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
11041,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
18919,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
28143,Partial College,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
26556,Partial College,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
13031,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
14285,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
16490,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28145,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
25959,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
19781,Partial College,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
16920,Partial College,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
20413,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
23115,Partial College,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
22165,Partial College,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
29058,Partial College,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
27468,Partial College,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
20458,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
24289,Partial College,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
18893,Partial College,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
28126,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28106,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
13074,Partial College,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
24298,Partial College,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
29070,Partial College,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
19744,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
15307,Bachelors,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
13308,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
22123,Graduate Degree,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
13098,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
20374,Partial High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
19717,Partial High School,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
23127,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
18836,High School,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
27388,Bachelors,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
29207,High School,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
15774,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
23038,High School,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
15400,Partial High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
28979,Bachelors,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
24945,Bachelors,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
16886,Partial High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
18845,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
25839,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
27604,High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
27387,Graduate Degree,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
26724,Partial High School,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
28270,High School,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
22227,High School,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
25198,Partial High School,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
27605,High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
24644,Bachelors,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
20384,Graduate Degree,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
25855,Bachelors,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
27654,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
21340,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
15993,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
23670,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
27666,Partial High School,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
27611,High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
23678,Bachelors,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
21332,Partial High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
17437,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
13213,Bachelors,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
22226,High School,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
20378,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28971,Graduate Degree,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
21750,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
18871,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
23140,High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28221,High School,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28222,High School,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
17449,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
22125,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28981,Graduate Degree,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
27673,Graduate Degree,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
23451,High School,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
26455,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
19745,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28295,Partial High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
24629,Graduate Degree,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
25152,High School,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
27649,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
16884,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
27613,High School,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
15776,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
18967,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
24630,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
19724,Graduate Degree,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
19856,Bachelors,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28982,Bachelors,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
19859,Bachelors,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28011,Bachelors,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28977,Bachelors,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
17137,Bachelors,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
14295,High School,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
26711,High School,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
23067,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
13458,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
21773,Bachelors,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28003,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
16888,Partial High School,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
14296,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
17554,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
27614,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
18510,High School,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
22727,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
21446,Graduate Degree,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
21339,Graduate Degree,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
18424,High School,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
19728,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
21336,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
24432,Partial High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
18071,Bachelors,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
16894,Graduate Degree,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
14475,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
23051,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
26725,Partial High School,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28223,High School,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
16889,Partial High School,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
17526,High School,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
22145,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
19743,Graduate Degree,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
25148,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
19820,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
19727,Graduate Degree,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
26457,Graduate Degree,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
28976,Bachelors,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
28293,Partial High School,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
16890,Partial High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
24940,Bachelors,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
23075,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
25199,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
26726,Partial High School,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
21445,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
15881,Bachelors,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
27389,Bachelors,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
15198,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
26049,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
19703,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
27672,Graduate Degree,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
17138,Bachelors,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
21304,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
18855,Partial High School,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
24941,Bachelors,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
23676,Bachelors,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
18534,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
29254,High School,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
15884,Bachelors,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
25842,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28002,Graduate Degree,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
23452,High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
14043,High School,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
18835,High School,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
28980,Bachelors,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
19702,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
27400,Bachelors,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
26710,High School,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
19733,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
19716,Partial High School,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
25197,High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28004,Bachelors,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
16885,Partial High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
22752,Bachelors,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
27612,High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
23040,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
20380,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
15883,Bachelors,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
23039,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
29208,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
23449,High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
23066,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
19732,Graduate Degree,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
18530,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
18509,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
24952,Bachelors,Woman,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
28294,Partial High School,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
19701,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
24391,High School,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
28005,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
11316,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
19857,Bachelors,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
15777,High School,Woman,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
28271,High School,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
20487,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
13302,High School,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
24946,Graduate Degree,Woman,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
13097,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
27399,Bachelors,Man,Tenant,Single,2,0,North America,60000,Moderate,Almost Lost
23064,Graduate Degree,Man,Owner,Single,2,0,North America,60000,Moderate,Almost Lost
16887,Partial High School,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
23673,Graduate Degree,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
22127,Graduate Degree,Man,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
24944,Bachelors,Woman,Owner,Married,2,0,North America,60000,Moderate,Almost Lost
14294,High School,Man,Tenant,Married,2,0,North America,60000,Moderate,Almost Lost
25015,Partial College,Woman,Tenant,Married,2,0,North America,70000,Unknown,Almost Lost
25018,Partial College,Man,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
23069,Graduate Degree,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
21453,Bachelors,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
29277,Graduate Degree,Woman,Tenant,Single,2,0,North America,70000,Unknown,Almost Lost
15935,Graduate Degree,Woman,Tenant,Married,2,0,North America,70000,Unknown,Almost Lost
21762,Bachelors,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
20412,Partial College,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
21358,Graduate Degree,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
16781,Bachelors,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
22130,Graduate Degree,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
12073,Bachelors,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
18973,Bachelors,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
22042,Partial College,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
22113,Graduate Degree,Woman,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
19852,Bachelors,Man,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
22729,Bachelors,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
13322,Graduate Degree,Woman,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
20382,Graduate Degree,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
18063,Bachelors,Woman,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
20385,Graduate Degree,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
25025,Partial College,Man,Tenant,Single,2,0,North America,70000,Unknown,Almost Lost
15875,Bachelors,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
24404,Graduate Degree,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
20489,Bachelors,Man,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
18923,Partial College,Woman,Tenant,Married,2,0,North America,70000,Unknown,Almost Lost
20405,Partial College,Man,Tenant,Single,2,0,North America,70000,Unknown,Almost Lost
15406,Graduate Degree,Woman,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
13480,Graduate Degree,Woman,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
24405,Graduate Degree,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
18986,Bachelors,Man,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
22129,Graduate Degree,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
21444,Bachelors,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
22747,Bachelors,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
25050,Partial College,Man,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
22131,Graduate Degree,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
20376,Graduate Degree,Woman,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
20442,Partial College,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
18984,Bachelors,Woman,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
13320,Graduate Degree,Woman,Tenant,Single,2,0,North America,70000,Unknown,Almost Lost
22231,Partial College,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
25049,Partial College,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
14491,Graduate Degree,Man,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
22728,Bachelors,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
21349,Graduate Degree,Man,Tenant,Married,2,0,North America,70000,Unknown,Almost Lost
21753,Bachelors,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
14113,Partial College,Woman,Tenant,Single,2,0,North America,70000,Unknown,Almost Lost
22119,Graduate Degree,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
22116,Graduate Degree,Man,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
21313,Graduate Degree,Woman,Tenant,Married,2,0,North America,70000,Unknown,Almost Lost
20502,Bachelors,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
23070,Graduate Degree,Woman,Tenant,Married,2,0,North America,70000,Unknown,Almost Lost
16777,Bachelors,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
22115,Graduate Degree,Man,Tenant,Married,2,0,North America,70000,Unknown,Almost Lost
18987,Bachelors,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
17130,Bachelors,Woman,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
20386,Graduate Degree,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
22153,Partial College,Woman,Tenant,Married,2,0,North America,70000,Unknown,Almost Lost
24435,Graduate Degree,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
22135,Graduate Degree,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
22739,Bachelors,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
24436,Graduate Degree,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
21766,Bachelors,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
20377,Graduate Degree,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
20391,Graduate Degree,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
13266,Partial College,Man,Tenant,Married,2,0,North America,70000,Unknown,Almost Lost
25059,Partial College,Man,Owner,Single,2,0,North America,70000,Unknown,Almost Lost
21459,Bachelors,Man,Tenant,Married,2,0,North America,70000,Unknown,Almost Lost
14492,Graduate Degree,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
21443,Bachelors,Woman,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
22043,Partial College,Woman,Tenant,Single,2,0,North America,70000,Unknown,Almost Lost
28281,Graduate Degree,Man,Owner,Married,2,0,North America,70000,Unknown,Almost Lost
24437,Graduate Degree,Woman,Tenant,Single,2,0,North America,70000,Unknown,Almost Lost
25048,Partial College,Woman,Tenant,Single,2,0,North America,70000,Unknown,Almost Lost
